"","unique_ID","ethR_1","ethR_2","ethR_3","ethR_4","ethR_5","ethR_6","ethP_1","ethP_2","ethP_3","ethP_4","ethP_5","ethP_6","ethB_1","ethB_2","ethB_3","ethB_4","ethB_5","ethB_6","finR_1","finR_2","finR_3","finR_4","finR_5","finR_6","finP_1","finP_2","finP_3","finP_4","finP_5","finP_6","finB_1","finB_2","finB_3","finB_4","finB_5","finB_6","heaR_1","heaR_2","heaR_3","heaR_4","heaR_5","heaR_6","heaP_1","heaP_2","heaP_3","heaP_4","heaP_5","heaP_6","heaB_1","heaB_2","heaB_3","heaB_4","heaB_5","heaB_6","recR_1","recR_2","recR_3","recR_4","recR_5","recR_6","recP_1","recP_2","recP_3","recP_4","recP_5","recP_6","recB_1","recB_2","recB_3","recB_4","recB_5","recB_6","socR_1","socR_2","socR_3","socR_4","socR_5","socR_6","socP_1","socP_2","socP_3","socP_4","socP_5","socP_6","socB_1","socB_2","socB_3","socB_4","socB_5","socB_6","Gender","Birth_Year","Marital_Status","Children","Race_7","Ethnicity","Edu_ori","Political","Political_TEXT","Income","Employment","Race","Age","SOEPgen","SOEPdri","SOEPfin","SOEPrec","SOEPocc","SOEPhea","Education","subsample"
"13","152083",6,1,1,3,1,1,2,6,5,4,5,1,6,4,2,1,3,5,1,5,1,2,1,6,5,2,5,4,5,3,5,4,5,4,5,6,1,2,2,3,6,5,4,3,2,3,2,3,2,5,2,2,3,2,5,5,2,5,2,6,2,3,5,3,3,2,4,3,3,5,4,6,7,6,7,7,7,7,1,2,3,1,1,3,1,1,6,1,5,6,2,1958,"3",2,"","2",2,"Ind.","",5,"1","3",58,NA,NA,NA,NA,NA,NA,"1","B"
"15","152085",4,1,1,3,1,1,2,3,4,4,5,2,4,5,5,3,4,4,5,7,5,6,1,4,5,2,4,6,2,4,4,4,3,2,2,3,4,1,1,1,7,3,5,7,2,6,3,4,3,1,1,1,5,4,7,3,4,6,1,2,2,5,4,3,2,2,7,3,4,5,1,2,7,6,3,4,7,7,1,2,3,4,2,6,4,3,7,4,4,7,1,1969,"2",0,"","2",5,"Dem.","",7,"1","3",47,NA,NA,NA,NA,NA,NA,"2","B"
"16","152086",5,5,5,3,3,5,2,4,3,4,5,2,5,3,4,2,3,5,5,5,5,5,5,6,5,5,5,6,5,6,4,5,4,5,5,5,3,6,3,3,5,4,3,4,5,5,3,4,2,4,3,3,3,3,6,5,5,6,5,6,2,4,5,5,6,3,5,3,4,5,5,5,6,6,6,6,6,6,2,3,4,2,3,4,5,4,7,5,5,5,2,1983,"4",0,"","2",5,"Ind.","",3,"1","3",33,NA,NA,NA,NA,NA,NA,"2","B"
"18","152088",3,1,1,2,2,3,4,6,7,5,5,4,5,2,3,2,3,5,1,4,1,2,1,4,5,3,6,6,6,5,3,4,3,4,4,5,3,1,3,1,5,5,3,5,5,6,5,4,2,2,2,2,2,2,5,5,5,5,1,6,2,3,3,3,3,3,5,5,5,5,3,5,6,6,6,6,6,6,1,2,2,2,2,3,4,4,6,3,6,6,1,1988,"1",0,"","2",5,"Ind.","",3,"1","4",28,NA,NA,NA,NA,NA,NA,"2","B"
"19","152089",5,2,6,6,2,6,6,6,4,2,5,1,4,5,3,1,1,7,3,6,3,5,5,2,4,5,4,3,4,6,4,6,4,3,5,5,2,2,1,1,7,2,5,7,6,7,3,6,4,5,1,1,4,2,6,1,1,1,1,1,2,6,6,5,5,7,4,1,4,6,6,7,5,3,5,3,5,4,3,5,3,6,2,4,1,3,7,4,2,7,2,1987,"1",0,"","2",2,"Dem.","",4,"1","3",29,NA,NA,NA,NA,NA,NA,"1","B"
"20","152090",1,1,1,2,1,3,6,5,4,3,6,2,3,1,2,1,1,4,1,5,1,1,1,2,6,2,6,7,6,7,2,7,2,4,2,4,1,2,2,1,2,3,6,7,6,7,4,5,1,1,1,1,1,2,3,2,1,1,2,1,4,5,6,5,4,4,2,1,1,2,2,3,3,2,4,3,2,3,2,4,3,4,5,4,3,2,4,2,3,3,2,1986,"1",0,"","2",5,"Ind.","",4,"1","4",30,NA,NA,NA,NA,NA,NA,"2","B"
"22","152093",1,2,1,3,2,2,4,6,5,3,6,2,4,3,3,2,3,3,2,4,6,3,2,3,5,2,4,5,4,5,3,4,3,4,2,4,2,2,1,1,1,2,5,5,6,6,5,4,2,3,1,1,1,3,5,1,1,1,1,1,2,6,6,4,5,5,4,2,2,2,2,3,5,3,6,4,3,5,2,3,1,4,4,4,1,2,6,2,4,6,2,1985,"2",0,"","2",4,"Dem.","",1,"2","3",31,NA,NA,NA,NA,NA,NA,"2","B"
"24","152098",2,2,3,3,2,3,5,5,6,4,5,4,4,2,2,1,3,6,2,2,3,3,5,4,3,4,5,5,4,5,4,3,4,5,4,3,2,3,3,3,3,2,5,5,4,2,3,2,3,3,2,2,2,2,3,4,4,5,3,3,3,2,3,5,4,4,4,1,2,1,1,1,6,3,4,2,3,3,3,4,4,3,4,3,3,4,3,3,3,3,2,1989,"1",0,"","2",4,"Rep.","",1,"2","3",27,NA,NA,NA,NA,NA,NA,"2","B"
"30","152108",5,2,2,2,3,6,4,2,4,2,2,1,4,3,4,1,3,4,4,6,5,4,4,4,5,3,4,5,5,6,4,5,3,4,3,4,1,7,1,1,3,3,7,3,5,5,4,5,1,7,1,1,1,1,7,2,7,7,7,2,1,6,3,3,3,3,7,2,4,4,4,3,5,6,7,5,7,7,1,2,3,3,3,3,1,1,4,2,5,4,2,1983,"2",0,"","2",2,"Ind.","",2,"2","3",33,NA,NA,NA,NA,NA,NA,"1","B"
"32","152110",1,2,1,1,2,1,6,5,5,5,5,3,5,3,6,1,1,5,2,4,3,2,3,4,4,4,4,5,4,4,2,4,2,3,2,4,1,4,1,1,2,4,5,6,7,7,5,4,1,3,1,1,1,1,5,2,3,2,2,2,2,6,4,3,4,3,5,1,4,4,3,3,4,4,5,3,6,5,2,3,2,3,3,2,2,3,7,3,4,5,2,1986,"1",0,"","2",2,"Ind.","",1,"1","3",30,NA,NA,NA,NA,NA,NA,"1","B"
"35","152113",1,1,1,1,2,1,7,7,7,7,7,1,7,1,7,7,2,7,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,2,4,3,7,4,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,5,1,1963,"3",3,"","1",2,"Dem.","",3,"4","3",53,NA,NA,NA,NA,NA,NA,"1","B"
"36","152114",5,1,1,4,1,1,2,7,5,3,7,1,6,2,5,3,1,7,1,5,1,5,1,5,7,4,7,4,7,5,3,6,2,6,2,6,2,1,7,1,6,6,4,7,2,4,2,3,1,2,1,1,4,1,5,1,1,1,1,1,2,6,5,4,4,2,4,3,3,3,2,6,5,3,4,4,3,2,1,5,4,4,4,4,3,2,6,4,2,6,2,1967,"1",0,"","2",2,"Dem.","",2,"1","3",49,NA,NA,NA,NA,NA,NA,"1","B"
"37","152116",1,1,1,1,1,1,7,7,7,4,7,1,7,1,4,1,1,7,1,7,1,1,1,4,7,1,7,7,7,4,7,7,7,7,7,7,1,6,1,1,7,4,7,7,7,7,7,7,1,7,1,1,1,1,6,1,4,7,7,7,1,7,7,4,4,1,7,1,1,4,4,7,7,7,7,7,4,7,1,1,4,7,4,1,1,1,7,4,1,4,2,1976,"1",0,"","2",5,"Ind.","",3,"1","1",40,NA,NA,NA,NA,NA,NA,"2","B"
"38","152119",1,1,1,3,1,1,6,7,5,4,7,1,4,2,3,2,1,6,2,6,2,3,4,3,3,2,3,4,3,5,4,6,4,5,4,5,1,2,1,1,4,2,3,5,7,7,4,6,2,2,1,1,3,1,7,2,3,1,1,1,2,3,3,5,5,6,7,4,5,3,1,4,7,5,7,6,6,5,1,3,4,3,2,4,5,5,7,4,5,6,1,1987,"3",1,"","2",5,"Dem.","",5,"2","3",29,NA,NA,NA,NA,NA,NA,"2","B"
"40","152121",3,2,2,2,1,3,5,6,6,6,7,2,4,2,5,1,1,6,2,4,3,4,3,3,5,4,4,3,4,5,2,5,4,3,5,6,2,2,1,1,1,1,5,6,6,7,6,7,1,1,1,1,1,1,6,3,4,5,5,1,2,5,6,6,4,5,4,3,3,3,3,3,5,4,5,4,4,2,2,5,5,4,4,5,3,2,5,4,4,4,2,1984,"3",1,"","1",5,"Dem.","",6,"1","3",32,NA,NA,NA,NA,NA,NA,"2","B"
"41","152122",6,1,5,6,1,7,2,4,3,2,6,1,5,2,4,2,1,7,1,4,1,1,1,2,7,2,7,4,7,5,3,4,3,4,3,4,5,5,3,1,7,3,2,4,4,6,3,5,2,2,1,1,3,2,1,1,1,1,1,4,2,4,4,4,4,2,1,1,1,1,1,1,6,5,6,6,7,7,1,3,3,4,2,2,4,4,6,4,4,5,1,1983,"3",0,"","2",5,"Dem.","",5,"1","3",33,NA,NA,NA,NA,NA,NA,"2","B"
"42","152123",3,4,1,2,2,2,2,4,5,5,3,2,3,4,4,2,3,5,1,5,1,3,1,2,6,2,6,4,6,5,4,5,4,3,4,3,2,5,1,1,3,6,3,3,4,6,4,5,2,4,1,1,1,3,7,2,5,4,2,4,2,5,4,3,4,4,7,2,4,4,2,3,7,6,7,7,5,6,2,3,3,4,3,4,4,3,6,4,3,5,2,1975,"1",0,"","2",3,"Ind.","",2,"1","3",41,NA,NA,NA,NA,NA,NA,"2","B"
"43","152125",1,1,1,2,1,2,5,4,3,3,5,2,5,3,4,2,1,3,1,2,1,1,1,2,5,3,5,2,4,3,4,4,3,3,3,4,1,2,1,1,3,3,3,5,4,4,3,3,2,2,1,1,3,2,2,1,1,1,1,1,2,4,4,3,3,3,4,4,3,4,4,5,6,5,6,6,5,6,1,2,2,2,2,2,2,3,4,3,4,4,2,1986,"1",1,"","2",2,"Dem.","",2,"6","3",30,NA,NA,NA,NA,NA,NA,"1","B"
"44","152126",1,1,3,1,1,5,6,5,5,7,7,2,6,3,5,1,1,5,1,1,1,1,1,1,5,6,4,6,5,6,4,5,4,5,4,5,6,1,1,2,3,6,2,7,7,6,3,5,2,5,1,1,2,4,6,2,5,6,5,3,2,4,2,3,3,4,5,3,4,4,4,6,6,3,7,6,6,5,1,4,3,5,2,5,3,2,7,5,3,5,2,1987,"3",1,"","2",6,"Dem.","",4,"1","3",29,NA,NA,NA,NA,NA,NA,"3","B"
"45","152127",1,2,2,3,2,3,5,5,5,5,5,4,4,3,3,2,3,6,1,2,2,1,2,1,6,4,4,6,5,5,3,4,3,3,3,2,3,3,1,1,3,2,2,4,4,5,3,5,4,4,1,2,2,1,2,2,2,2,1,1,3,3,3,3,4,4,3,2,3,2,3,2,5,4,5,4,4,3,2,5,5,5,5,5,3,3,4,3,4,4,2,1991,"1",NA,"","2",5,"Ind.","",3,"1","3",25,NA,NA,NA,NA,NA,NA,"2","B"
"46","152130",3,5,4,3,5,4,5,6,4,5,5,1,5,5,5,4,4,4,1,6,1,6,1,6,7,5,7,5,7,5,1,6,1,6,1,6,5,6,2,5,7,7,3,4,6,3,2,2,5,7,1,4,4,4,7,1,1,5,5,4,1,7,7,2,2,2,7,1,1,3,3,4,7,7,7,7,7,7,2,2,1,4,1,1,4,4,7,5,7,7,2,1986,"2",0,"","2",2,"Ind.","",6,"1","3",30,NA,NA,NA,NA,NA,NA,"1","B"
"47","152131",1,2,1,2,1,2,6,4,5,3,7,2,4,4,4,2,1,5,1,1,1,1,1,1,3,2,3,5,5,7,3,4,3,4,3,5,1,1,1,1,1,2,4,7,6,6,7,5,1,2,1,1,1,2,1,1,1,1,1,3,2,5,5,3,3,2,3,2,3,3,3,5,5,2,4,3,7,5,2,5,2,3,2,3,2,1,4,2,4,4,1,1959,"4",2,"","2",2,"Ind.","",1,"1","3",57,NA,NA,NA,NA,NA,NA,"1","B"
"52","152139",6,1,1,1,1,2,2,5,4,2,3,1,7,6,5,3,5,5,7,7,7,7,7,7,2,2,2,5,2,5,7,7,7,7,7,7,5,1,2,3,7,7,3,4,3,4,2,4,5,4,2,2,3,5,7,5,5,3,2,7,2,5,4,3,3,3,4,4,4,4,3,6,7,5,7,3,7,7,1,2,2,3,4,4,4,4,7,3,7,7,2,1975,"1",NA,"","2",5,"Ind.","",1,"1","3",41,NA,NA,NA,NA,NA,NA,"2","B"
"54","152141",1,1,1,1,4,6,7,7,7,7,6,1,6,3,7,1,2,3,2,7,4,2,2,6,3,4,5,7,4,6,7,7,7,7,7,7,7,7,7,1,6,2,7,7,7,7,7,7,5,4,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6,7,3,5,4,7,6,1,4,3,7,5,7,7,2,1990,"2",0,"","2",5,"Dem.","",2,"1","3",26,NA,NA,NA,NA,NA,NA,"2","B"
"55","154337",5,4,2,5,1,4,4,7,7,4,7,3,5,1,1,2,1,5,1,1,1,1,1,1,7,7,7,7,7,7,3,4,3,3,2,2,7,5,1,1,6,1,2,5,7,7,6,7,1,2,1,1,1,1,1,1,1,1,1,1,5,7,7,7,7,7,1,1,1,2,2,1,6,3,5,5,5,7,1,2,5,2,2,4,1,1,7,3,7,5,1,1980,"2",2,NA,"2",2,"Rep.","",4,"7","3",36,NA,NA,NA,NA,NA,NA,"1","B"
"60","154343",3,1,1,1,1,1,5,7,5,5,7,2,4,2,2,1,1,2,2,7,1,5,1,6,5,2,5,2,3,5,4,2,2,2,2,3,1,2,1,1,5,1,6,7,5,6,4,7,1,1,1,1,1,1,1,1,1,2,1,6,5,5,2,6,7,5,3,1,2,1,1,2,7,5,6,5,6,6,1,4,3,4,2,1,1,2,4,3,4,3,1,1979,"3",0,NA,"2",6,"Dem.","",5,"1","1",37,NA,NA,NA,NA,NA,NA,"3","B"
"61","154344",1,1,1,5,4,1,7,7,7,5,7,3,1,2,4,2,1,7,1,4,6,1,1,5,4,5,4,7,4,4,4,4,4,1,4,4,6,1,1,1,1,4,5,7,7,7,7,7,4,1,1,1,1,1,1,1,5,1,1,1,5,7,4,7,5,7,2,1,4,1,1,1,7,3,7,1,1,7,2,6,5,6,5,5,5,1,7,1,1,4,2,1982,"4",0,NA,"2",2,"Dem.","",1,"2","3",34,NA,NA,NA,NA,NA,NA,"1","B"
"62","154345",1,1,1,1,1,1,7,7,7,3,7,1,1,1,1,1,1,3,1,5,1,1,1,1,6,3,7,3,7,5,1,3,1,2,1,3,1,1,1,1,5,5,5,7,7,7,6,3,1,1,1,1,1,1,5,1,1,1,1,1,2,3,3,7,7,7,4,1,3,1,1,1,7,7,7,7,1,7,1,5,5,2,2,5,7,4,7,7,1,4,2,1977,"2",1,NA,"2",2,"Ind.","",3,"2","3",39,NA,NA,NA,NA,NA,NA,"1","B"
"63","154346",1,1,1,1,2,1,7,7,7,7,5,2,2,1,1,1,1,4,1,7,1,5,1,3,7,2,7,3,7,6,3,6,2,3,1,3,6,2,5,1,2,3,5,7,5,7,4,4,3,1,1,1,1,3,7,1,1,1,1,1,1,7,6,6,6,6,6,1,1,1,1,5,7,5,5,5,7,4,1,4,5,3,3,5,1,3,7,3,5,6,1,1964,"2",2,NA,"2",5,"Rep.","",6,"1","3",52,NA,NA,NA,NA,NA,NA,"2","B"
"64","154347",7,1,1,1,4,7,3,5,5,3,4,1,4,1,4,1,4,7,7,7,7,1,7,4,2,2,3,4,3,5,4,4,4,4,4,4,7,7,1,1,1,1,4,4,4,5,4,5,1,1,1,1,1,1,7,1,7,7,7,7,3,7,4,2,2,3,4,1,1,1,1,1,7,7,4,1,7,4,1,2,4,7,2,5,1,1,7,1,4,4,2,1991,"1",0,NA,"2",5,"Ind.","",4,"1","4",25,NA,NA,NA,NA,NA,NA,"2","B"
"65","154348",1,1,1,1,2,4,6,7,6,4,4,3,3,1,1,1,1,5,2,5,1,3,1,3,6,2,7,3,7,2,2,5,1,2,1,4,1,4,2,3,5,3,6,4,3,4,4,2,1,1,1,1,1,1,4,2,4,2,3,6,3,5,3,4,5,3,4,3,3,3,1,4,7,4,7,7,4,5,2,4,1,3,1,3,3,3,6,3,4,3,2,1994,"1",0,NA,"1",4,"Ind.","",3,"1","3",22,NA,NA,NA,NA,NA,NA,"2","B"
"67","154350",5,1,1,2,1,5,4,7,7,4,7,3,2,1,1,1,1,3,1,4,1,4,1,4,7,2,7,2,7,2,1,5,1,5,1,5,1,5,1,1,6,4,7,5,6,7,5,7,1,4,1,1,1,1,6,1,7,1,1,1,3,7,3,7,7,7,6,1,6,1,1,1,6,4,7,3,7,7,1,3,1,3,1,2,6,5,7,5,7,7,1,1976,"4",4,NA,"2",2,"Dem.","",1,"7","3",40,NA,NA,NA,NA,NA,NA,"1","B"
"69","154352",2,1,1,3,2,2,6,6,6,3,4,3,2,2,2,3,3,4,2,4,2,2,2,3,6,4,6,5,5,4,2,4,2,3,2,3,2,1,2,1,4,3,5,7,4,6,3,3,2,2,1,1,3,2,5,3,2,4,4,4,2,4,5,2,3,3,4,2,3,4,4,4,5,4,5,4,4,5,3,4,3,3,3,4,3,3,4,4,3,4,1,1984,"1",0,NA,"2",5,"Dem.","",2,"1","3",32,NA,NA,NA,NA,NA,NA,"2","B"
"70","154353",1,1,1,2,1,1,5,6,4,4,6,4,1,2,2,2,1,2,1,5,2,3,1,4,5,2,6,3,5,4,2,5,2,4,3,4,1,1,1,1,1,2,3,6,5,5,4,3,1,2,2,1,2,2,5,3,2,1,1,2,2,3,3,5,4,3,4,3,4,3,3,4,5,4,6,5,2,6,2,3,2,3,3,4,4,4,5,4,4,5,1,1975,"2",1,NA,"2",2,"Dem.","",5,"1","3",41,NA,NA,NA,NA,NA,NA,"1","B"
"72","154356",4,7,1,1,1,1,4,5,2,3,6,2,2,2,5,1,1,4,7,6,7,2,7,2,2,3,2,4,2,3,6,4,5,4,4,4,7,7,1,1,7,1,3,4,7,7,2,7,2,2,1,1,2,1,7,5,1,5,1,1,2,6,6,7,7,7,6,1,1,2,1,2,7,7,6,6,6,7,1,2,3,2,1,3,1,3,6,4,1,4,2,1978,"2",2,NA,"2",6,"Rep.","",5,"1","3",38,NA,NA,NA,NA,NA,NA,"3","B"
"73","154358",2,3,3,4,4,1,2,4,4,3,4,1,2,4,3,2,2,2,1,6,1,3,1,5,7,3,7,4,7,4,1,3,1,3,1,3,5,5,3,3,2,2,3,4,2,5,3,3,1,4,2,1,1,1,4,4,3,4,2,5,3,3,5,2,5,2,1,1,1,2,2,3,6,5,6,5,6,6,2,2,4,2,1,3,2,2,6,2,2,3,2,1968,"2",0,NA,"2",6,"Dem.","",6,"2","3",48,NA,NA,NA,NA,NA,NA,"3","B"
"76","154762",1,1,1,2,1,1,6,7,7,5,6,2,1,1,1,1,1,1,1,6,1,1,1,2,6,2,6,5,6,5,2,6,2,3,2,4,6,4,1,2,3,2,3,5,4,5,5,6,1,1,1,2,1,1,7,5,5,7,7,5,2,4,5,3,3,5,5,2,3,4,5,5,7,4,7,5,6,7,2,5,4,4,2,5,2,3,7,3,4,5,1,1979,"2",1,NA,"2",5,"Ind.","",5,"1","3",37,NA,NA,NA,NA,NA,NA,"2","B"
"78","154772",5,2,1,5,1,5,2,7,6,5,6,4,6,3,1,1,1,6,1,6,1,2,1,5,7,5,7,6,7,6,5,6,6,5,5,6,5,7,7,1,7,6,4,6,5,7,3,5,2,7,1,1,1,1,6,6,3,1,2,2,2,6,5,7,7,7,6,3,6,6,6,6,6,5,7,6,7,7,1,2,5,5,1,5,2,1,7,2,4,6,1,1985,"4",0,NA,"2",5,"Dem.","",6,"2","3",31,NA,NA,NA,NA,NA,NA,"2","B"
"80","154775",1,1,1,1,1,2,7,7,7,7,6,7,1,2,1,1,1,2,1,2,1,1,1,1,7,5,7,7,7,7,2,3,1,2,1,1,1,6,1,1,1,2,7,4,7,7,6,5,1,3,1,1,1,1,5,1,3,1,3,1,4,7,7,7,7,5,4,1,1,1,1,2,6,4,5,5,4,4,3,4,5,2,2,4,2,3,7,5,2,3,2,1990,"1",0,NA,"1",2,"Ind.","",5,"1","3",26,NA,NA,NA,NA,NA,NA,"1","B"
"82","154781",2,7,2,5,3,4,3,5,4,2,7,6,2,1,3,5,6,5,2,6,5,2,3,4,4,4,2,3,2,7,4,3,6,7,3,4,1,2,2,6,4,1,1,7,3,1,3,2,5,2,2,7,2,6,7,6,5,2,6,2,7,6,5,5,4,6,7,2,5,2,3,7,6,6,5,6,7,6,6,6,2,7,7,5,6,7,2,6,2,3,2,1990,"4",0,NA,"2",5,"Rep.","",4,"1","3",26,NA,NA,NA,NA,NA,NA,"2","B"
"84","154784",1,1,2,3,1,6,6,7,6,5,5,1,5,3,6,1,1,5,1,1,1,1,1,1,5,5,4,5,4,6,7,7,7,7,6,7,2,1,1,1,7,6,3,7,6,7,5,4,1,4,1,1,1,1,3,1,2,1,1,1,3,6,6,7,7,7,2,1,1,1,1,1,6,3,5,2,5,5,2,5,5,4,3,4,1,2,6,1,2,4,2,1987,"1",0,NA,"2",5,"Ind.","",4,"1","3",29,NA,NA,NA,NA,NA,NA,"2","B"
"85","154785",4,1,1,3,1,1,3,7,5,4,5,5,4,1,2,2,1,3,1,2,1,1,1,2,6,6,7,7,6,5,3,3,2,3,3,3,3,1,2,1,5,3,5,6,3,5,3,5,1,1,1,1,1,1,2,1,3,1,1,1,2,6,5,7,7,7,2,1,2,1,1,1,6,5,6,5,6,6,2,3,3,2,2,2,2,2,6,1,3,5,1,1959,"2",2,NA,"2",5,"Rep.","",6,"7","3",57,NA,NA,NA,NA,NA,NA,"2","B"
